,colour2,colour1,sub_category,category_id,type,user_id,brand,buyer,month,price_id,price,date
66027,0,0,3,11,8,3382,1,0,6,12828,182.05,2021-07-20
66028,0,2,6,10,8,4061,1,0,6,12827,1047.81,2021-07-20
66029,0,0,6,10,8,3861,0,0,6,12789,287.53,2021-07-20
66030,0,2,6,10,8,4023,0,0,6,12789,301.23,2021-07-20
66031,0,0,6,10,8,1994,1,0,6,12789,335.48,2021-07-20
66032,0,0,6,10,8,3892,0,0,6,12789,362.88,2021-07-20
66033,0,0,3,11,8,3779,0,0,6,10264,349.18,2021-07-20
66035,0,2,3,11,8,3130,0,0,6,12830,232.74,2021-07-20
66037,0,0,3,11,8,1930,1,0,6,7108,661.37,2021-07-20
66038,0,2,6,10,8,2012,0,0,6,12644,445.07,2021-07-20
66040,0,0,0,9,2,3947,2,0,6,12805,508.22,2021-07-21
66041,0,0,6,10,27,373,2,0,6,12831,191.64,2021-07-21
66042,0,0,6,10,8,4081,2,0,6,12470,416.85,2021-07-21
66043,0,0,6,10,8,4081,2,0,6,12470,416.85,2021-07-21
66045,0,0,5,12,11,2569,1,0,6,12819,260.14,2021-07-21
66046,0,2,0,9,11,4054,0,0,6,12696,151.92,2021-07-21
66047,0,0,0,9,8,2677,0,0,6,12696,179.15,2021-07-21
66049,0,2,0,9,11,4100,0,0,6,12832,208.08,2021-07-21
66050,0,0,0,9,11,3803,0,0,6,12696,162.88,2021-07-21
66051,0,0,0,9,11,3660,0,0,6,12696,221.78,2021-07-21
66052,0,2,6,10,23,2096,0,0,6,12832,308.08,2021-07-21
66053,0,0,0,9,11,389,0,0,6,12696,295.75,2021-07-21
66054,0,3,3,11,8,1823,1,0,6,12224,849.18,2021-07-21
66055,0,2,5,12,8,2903,1,0,6,12813,219.04,2021-07-21
66056,0,0,6,10,2,4137,0,0,6,12788,198.49,2021-07-21
66057,0,0,3,11,8,3630,1,0,6,12819,275.21,2021-07-21
66058,0,0,6,10,8,4089,0,0,6,12819,273.84,2021-07-21
66059,0,2,5,12,23,3745,0,0,6,12833,54.66,2021-07-21
66060,0,0,5,12,27,1931,1,0,6,12833,252.05,2021-07-21
66061,0,0,6,10,8,3907,0,0,6,5980,259.97,2021-07-21
66062,0,0,3,11,11,3826,0,0,6,12833,97.12,2021-07-21
66065,0,0,5,12,8,3775,2,0,6,12833,72.47,2021-07-21
66066,0,0,5,12,8,4070,2,0,6,12833,83.42,2021-07-21
66067,0,0,4,13,8,183,1,0,6,12834,369.73,2021-07-21
66068,0,3,0,9,12,1467,1,0,6,10589,116.3,2021-07-21
66069,0,2,4,13,8,1534,1,0,6,6688,246.44,2021-07-21
66070,0,0,0,9,18,694,1,0,6,4892,239.59,2021-07-21
66072,0,2,3,11,8,4064,1,0,6,9885,465.62,2021-07-21
66073,0,0,6,10,8,1758,2,0,6,3892,677.95,2021-07-21
66074,0,0,3,11,8,393,2,0,6,3892,1150.55,2021-07-21
66075,0,0,5,12,8,1783,2,0,6,3892,438.22,2021-07-21
66076,0,0,3,11,8,1080,1,0,6,10950,219.04,2021-07-21
66077,0,0,3,11,27,3360,1,0,6,7885,180.82,2021-07-21
66078,0,0,4,13,8,1733,1,0,6,12835,198.49,2021-07-21
66079,0,0,3,11,8,3382,1,0,6,10099,114.93,2021-07-21
66080,0,0,6,10,18,824,1,0,6,1612,424.52,2021-07-21
66081,0,0,3,11,18,809,1,0,6,1612,814.93,2021-07-21
66082,0,0,6,10,8,4029,1,0,6,10266,328.63,2021-07-21
66084,0,3,3,11,28,1796,0,0,6,12588,314.93,2021-07-21
66085,0,0,3,11,2,4137,0,0,6,12836,287.53,2021-07-21
66086,0,0,4,13,23,3961,0,0,6,2824,410.82,2021-07-21
66087,0,3,3,11,8,3973,0,0,6,12835,306.71,2021-07-21
66088,0,0,5,12,8,3059,2,0,6,12836,34.36,2021-07-21
66089,0,0,3,11,14,2622,1,0,6,7805,356.03,2021-07-21
66090,0,2,5,12,8,4037,0,0,6,12467,150.55,2021-07-21
66091,0,0,6,10,8,3765,0,0,6,1411,242.9,2021-07-21
66092,0,2,6,10,8,4150,0,0,6,12243,335.48,2021-07-21
66093,0,0,5,12,8,4405,0,0,6,10376,150.55,2021-07-21
